id	True_caption	LlavaCaptioner_caption	rouge-1-p	rouge-1-r	rouge-1-f1	rouge-2-p	rouge-2-r	rouge-2-f1	rouge-l-p	rouge-l-r	rouge-l-f1	distilbert-base-uncased-bertscore-p	distilbert-base-uncased-bertscore-r	distilbert-base-uncased-bertscore-f1	bleu_precision	meteor_score
2	It is also stylistically earlier to that work, being painted without pseudo-perspective, and having the angels around the Virgin simply placed one above the other, rather than being spatially arranged. The throne is similar to the Maestà painted by Cimabue in the Basilica of San Francesco di Assisi (1288–1292).	The image features a large painting of Mary, the mother of Jesus, surrounded by a group of angels. The painting is set in a church, and Mary is depicted holding a baby. The angels are positioned around her, with some standing closer to the viewer and others further away. The scene captures the essence of the religious theme and the reverence for Mary.	0.24390243902439024	0.22727272727272727	0.23529411265328729	0.020833333333333332	0.016129032258064516	0.01818181326281125	0.24390243902439024	0.22727272727272727	0.23529411265328729	0.7875217795372009	0.7441980242729187	0.7652472257614136	0.0	0.25118343195266274
3	The painting depicts the Virgin and Child enthroned, surrounded by angels on a gold background. The Madonna is large in scale, taking up the majority of the frame. Her robe is finely modelled and her gold halo incised as if to illuminate her presence. Six angels are seen holding the ornate throne, and are painted in shades of green, pink, lilac and blue.	The image features a beautifully painted mural of a woman holding a baby. The woman is wearing a crown and is surrounded by a group of angels, some of whom are holding books. The scene is set in a church, with the woman and baby at the center of attention. The mural is a captivating representation of the motherly bond and the importance of nurturing and protecting the young.	0.24489795918367346	0.3	0.26966291639944456	0.03225806451612903	0.029411764705882353	0.03076922577988246	0.20408163265306123	0.25	0.22471909617472552	0.8058260679244995	0.7888253927230835	0.7972350716590881	0.0	0.22059295148533906
23	The work is composed by five framed paintings with a triangular cusp, and portrays the busts of the Virgin (center) and, from the left, Sts. Details include the rich garments and the crosier of St. Nicholas, the gesture of the Child grasping at his mother's neckline and St. Peter's stole.	The image features a series of paintings depicting religious figures. There are four paintings in total, each showcasing a different religious figure. The figures are positioned in a row, with the first painting on the left, the second in the middle, the third on the right, and the fourth on the far right. The paintings are displayed on a wall, with each figure occupying a different section of the wall.	0.20512820512820512	0.2	0.20253164057042153	0.0625	0.045454545454545456	0.05263157407202262	0.20512820512820512	0.2	0.20253164057042153	0.7758477926254272	0.7541732788085938	0.7648569941520691	0.0	0.20052985870434548
27	Madonna with Child and six Angels is a Madonna painting by Gothic artist Duccio di Buoninsegna.	The image features a painting of a woman holding a baby. The woman is wearing a black veil, and the baby is positioned close to her. The painting is set against a gold background, giving it an elegant and sophisticated appearance.	0.26666666666666666	0.13793103448275862	0.18181817732438027	0.0	0.0	0.0	0.2	0.10344827586206896	0.13636363186983486	0.6882823705673218	0.689569354057312	0.6889252662658691	0.0	0.1256281407035176
30	The front panels make up a large enthroned Madonna and Child with saints and angels, and a predella of the Childhood of Christ with prophets.	The image depicts a painting of a woman holding a baby, surrounded by a large group of people. The woman is positioned in the center of the painting, with the baby in her arms. The people surrounding her are of various sizes and are spread throughout the painting, creating a sense of depth and dimension. The painting is likely a religious or historical piece, as it features a woman with a baby, which is often associated with the Virgin Mary and her child, Jesus.	0.35	0.14	0.19999999591836745	0.08333333333333333	0.02531645569620253	0.038834947881987325	0.25	0.1	0.14285713877551035	0.7409166097640991	0.7822010517120361	0.760999321937561	0.0	0.23738872403560832
97	The Madonna and Child with saints polyptych is a five piece Madonna polyptych by Italian Renaissance artist Duccio di Buoninsegna, also referred to as Polyptych no. Above the Madonna, Child and four saints, the polyptych depicts ten patriarchs and prophets. Christ is at the apex of the polyptych and is flanked by four angels below him. The saints depicted are Agnes, John the Evangelist, John the Baptist, and Mary Magdalene.	The image features a large painting of a church scene, depicting a group of people standing in front of a building. The painting is divided into several sections, each showcasing different individuals. Some of the people are standing closer to the foreground, while others are positioned further back in the scene. The painting captures the essence of a religious gathering or a church event, with the individuals dressed in various attire, reflecting the diversity of the congregation.	0.16326530612244897	0.16	0.16161615661667192	0.014925373134328358	0.014084507042253521	0.014492748627390925	0.14285714285714285	0.14	0.14141413641465175	0.7506527900695801	0.706649124622345	0.7279866337776184	0.0	0.1488833746898263
100	The painting has a traditional Christian subject, representing the Virgin Mary and the Christ Child seated on her lap, with saints and angels surrounding them on all sides.	The image depicts a painting of a woman holding a baby, surrounded by a crowd of people. The woman is seated on a chair, and the baby is positioned in her arms. The painting is set in a church, with the woman and baby at the center of attention. The crowd of people is composed of various individuals, some standing closer to the woman and baby, while others are further away. The scene captures a moment of connection and love between the woman and the baby, as well as the community's support and care for the child.	0.36	0.16363636363636364	0.224999995703125	0.1111111111111111	0.033707865168539325	0.051724134359393825	0.24	0.10909090909090909	0.14999999570312514	0.768206000328064	0.8188559412956238	0.7927228212356567	0.0	0.2061855670103093
122	The work is signed SYMON DE SENIS ME PINXIT in the central panel with the Madonna and Child. Aside from the seven main ones, there are 15 predella figures, an upper row with other 14 figures and seven cusps with other characters. There is a total of 43 figures. The central panel depicts the Madonna with Child; the remaining six main panels are, from left to right, St. Dominic, St. John the Evangelist, St. Mary Magdalene, St. Catherine of Alexandria, St. John the Baptist and St. Peter of Verona. All these figures are enclosed within three foiled cusped arches. Above the Madonna are the two archangels Gabriel and Michael and, above them, the Blessing Christ. The six saints panel are surmounted by, also in couples, the Twelve Apostles, with the exception of St. John the Evangelist, replaced by St. Paul. The predella shows, at the center, Christ in the Sepulchre with the Madonna and St. Mark and further couples of saints which, from left to right, are Gregory and Luke, Stephen and  Apollonia, Jerome and Lucy, Agnes and Ambrose, Thomas of Aquino and Augustine, Ursula and LawrenceSince the identification of the saints is controversial, the saints panels in the museum are placed differently from the image in this article.	The image features a series of paintings depicting various religious figures. There are numerous people in the scene, with some of them wearing religious garments. The paintings are displayed in a row, showcasing the artistic talent and the importance of these religious figures in the artist's work. The paintings are set against a backdrop of a building, possibly a church or a religious institution.	0.11016949152542373	0.3170731707317073	0.1635220087512362	0.0053475935828877	0.01694915254237288	0.008130077654506228	0.1016949152542373	0.2926829268292683	0.15094339239903495	0.77800452709198	0.6993407011032104	0.7365782856941223	0.0	0.09093721144967679
125	The back main (central) panel represents Christ enthroned flanked by angels with a kneeling Cardinal Stefaneschi at his right foot. In the left panel we see the crucifixion of Peter, and on the right is the beheading of St. Paul. The predella depicts the Virgin and Child flanked by angels in the center and standing figures of the 12 apostles at the sides. The central panel of the back of the altarpiece duplicated the apse mosaic for those who could not see it (because they sat with their backs to it), while the side panels introduced narratives. It was normal for double-sided altarpieces in this period to have an iconic image on the front and narrative images on the back. Stefaneschi is dressed in full ceremonial costume as a cardinal on the front, appropriate for the "public" face of the altarpiece and is introduced to St. Peter by St. George.	The image features a large painting of Jesus and his disciples. The painting is divided into four sections, each depicting a different scene. The first section shows Jesus and his disciples, while the second section displays a scene of Jesus and Mary. The third section features a painting of Jesus and John the Baptist, and the fourth section showcases a painting of Jesus and Peter. The painting is displayed on a wooden panel, and the overall scene is quite intricate and detailed.	0.11702127659574468	0.2558139534883721	0.1605839372987374	0.007194244604316547	0.015151515151515152	0.009756093195004928	0.11702127659574468	0.2558139534883721	0.1605839372987374	0.8111144304275513	0.7337112426757812	0.7704737186431885	0.0	0.1330067715268809
126	The painting is a complex arrangement exalting the role of Aquinas as a scholar of religious knowledge, his placement among the Four Evangelists and philosophers. In the center of the panel, the largest figure is the seated tonsured monk St Thomas Aquinas, below a Christ inside a mandorla. Linear rays tie his work to the Four Evangelists and Moses and St Paul above the gilded circle. Flanking him are Aristotle and Plato. Below the feet of Aquinas is a dejected Averroes, horizontal and looks away with book inverted.	The image features a man dressed in a black robe, holding a book in his hands. He is surrounded by several other people, some of whom are also holding books. The scene appears to be a religious gathering or a study session, with the man in the black robe possibly being a religious figure or a teacher. The people in the image are engaged in various activities, such as reading, writing, or discussing, creating a lively atmosphere.	0.20967741935483872	0.24074074074074073	0.22413792605826408	0.0	0.0	0.0	0.1935483870967742	0.2222222222222222	0.20689654674791927	0.7620933055877686	0.7333204746246338	0.7474300861358643	0.0	0.16649323621227888
